Disease,Fever,Cough,Fatigue,Headache,Body Ache,Sore Throat,Runny Nose,Sneezing,Shortness of Breath,Wheezing,Chest Pain,Nausea,Vomiting,Diarrhea,Abdominal Pain,Loss of Taste,Loss of Smell,Dizziness,Chills,Joint Pain,Skin Rash
Common Cold,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Cold,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Influenza,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COVID-19,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
COVID-19,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bronchial Asthma,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Bronchial Asthma,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Bronchitis,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Bronchitis,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Pneumonia,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Gastroenteritis,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Gastroenteritis,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Migraine,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Migraine,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dengue,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Dengue,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Allergic Rhinitis,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergic Rhinitis,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral Fever,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Viral Fever,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strep Throat,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strep Throat,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Poisoning,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Food Poisoning,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Sinusitis,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinusitis,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety-related Symptoms,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Anxiety-related Symptoms,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
